year,month,day,WT1,WT2,WT3,WT4,WT5,WT6,WT7,WT8,WT9
2020,3,1,8,6,3,4,6,6,7,2,9
2020,3,2,7,4,7,5,5,7,7,1,8
2020,3,3,10,6,9,5,3,5,5,1,7
2020,3,4,11,3,7,3,6,6,8,1,6
2020,3,5,9,7,7,1,7,1,7,3,9
2020,3,6,9,5,3,9,3,5,4,5,8
2020,3,7,9,3,3,6,5,6,11,3,5
2020,3,8,11,3,6,6,2,4,10,2,7
2020,3,9,8,8,6,3,6,2,9,2,7
2020,3,10,8,4,4,9,5,3,8,3,7
2020,3,11,6,2,7,3,2,5,11,5,10
2020,3,12,8,6,8,6,3,5,5,3,7
2020,3,13,7,4,8,8,4,7,7,3,3
2020,3,14,7,6,5,6,3,5,6,7,6
2020,3,15,8,2,9,10,5,4,6,3,4
2020,3,16,10,1,14,7,3,2,9,2,3
2020,3,17,8,4,13,3,2,6,7,3,5
2020,3,18,5,4,12,6,5,7,7,0,5
2020,3,19,8,3,9,4,3,7,9,2,6
2020,3,20,5,3,6,6,6,8,5,3,9
2020,3,21,6,0,7,7,7,6,7,2,9
2020,3,22,10,2,5,5,5,5,9,2,8
2020,3,23,8,3,5,10,4,1,10,0,10
2020,3,24,9,4,8,7,6,2,9,0,6
2020,3,25,5,0,9,7,5,6,10,5,4
2020,3,26,5,4,9,10,3,4,8,2,6
2020,3,27,5,4,7,6,7,3,8,4,7
2020,3,28,9,4,8,10,3,5,4,2,6
2020,3,29,5,1,8,6,6,7,13,1,4
2020,3,30,5,5,4,6,7,5,10,6,3
2020,3,31,5,7,11,9,5,1,6,2,5
